"","items","prices","soldwhen"
"1","JHAILYN ORTIZ 2016 BOWMAN CHROME SCOUT'S UPDATES  #BSU-JO Philadelphia Phillies","$0.99","Feb-12 17:25"
"2","2016 Bowman Chrome Dansby Swanson  BCP50 Braves","$0.99","Feb-12 17:25"
"3","RONNIE DAWSON 2016 ELITE EE auto /25 + die cut /49 #61 +2016 BOWMAN DRAFT CHROME","$3.30","Feb-12 17:24"
"4","Kenta Maeda BGS 9.5 Gem Auto 10 2016 Bowman Chrome Rookie Auto Dodgers","$46.00","Feb-12 17:24"
"5","Alex Blandino 2016 Bowman Chrome AFL Fall Stars #AFL-AB  Cincinnati Reds  RC","$0.99","Feb-12 17:22"
"6","2016 Bowman Chrome Draft Sean Reid-Foley Magenta Printing Plate 1/1 BLUE JAYS SP","$10.50","Feb-12 17:20"
"7","CHASE DeJONG 2015 BOWMANs BEST auto #B15-CD + 2016 BOWMAN DRAFT CHROME #BDC-174","$1.99","Feb-12 17:20"
"8","2016 Bowman Chrome Jacob Faria Blue Refractor Auto #108/150 Rays BN-ZD","$7.99","Feb-12 17:20"
"9","Sam Travis 2016 Bowman Chrome Auto Autograph Rookie RC Boston Red Sox HOT!","$8.99","Feb-12 17:17"
"10","(10) 2016 Bowman Draft & Chrome Mickey Moniak RC #1 LOT PHILLIES (2) Refractor","$10.50","Feb-12 17:15"
"11","Cornelius Randolph 2016 Bowman Chrome Auto Autograph Rookie RC Phillies HOT!","$4.13","Feb-12 17:14"
"12","2016 Bowman Chrome Ian Anderson Auto BGS MINT 9/10 Auto!","$10.08","Feb-12 17:08"
"13","KYLE MULLER 2016 ELITE EXTRA auto #153 + 2016 BOWMAN DRAFT CHROME #BDC-65","$1.79","Feb-12 17:06"
"14","2016 BOWMAN CHROME CHAD KUHL REFRACTOR AUTO #d 342/499","$2.34","Feb-12 17:04"
"15","2016 BOWMAN CHROME CHAD KUHL PITTSBURGH REFRACTOR AUTO #d 338/499","$4.01","Feb-12 17:03"
"16","2016 BOWMAN CHROME BASEBALL WILL SMITH 1ST BOWMAN PURPLE REFRACTOR AUTO #/250","$13.00","Feb-12 17:02"
"17","JOSHUA LOWE 2016 ELITE EE auto #13 & /200 #13 + 2016 BOWMAN DRAFT CHROME + BEST","$1.99","Feb-12 17:02"
"18","2016 BOWMAN CHROME CHAD KUHL PITTSBURGH PIRATES REFRACTOR AUTO #d 231/499","$4.26","Feb-12 17:02"
"19","2016 BOWMAN CHROME CHAD KUHL PIRATES REFRACTOR AUTO #d 339/499","$4.00","Feb-12 17:01"
"20","2016 BOWMAN CHROME CHAD KUHL REFRACTOR AUTO #d 12/499","$2.38","Feb-12 17:00"
"21","2016 Bowman Chrome Draft AUTO 5 Baseball Card Lot","$15.18","Feb-12 16:59"
"22","2016 Bowman Chrome #'d 414/499 Tyrell Jenkins RC AUTO AUTOGRAPH - Atlanta Braves","$0.99","Feb-12 16:50"
"23","2016 BOWMAN CHROME REFRACTOR AUTO TRAYCE THOMPSON  /499","$8.99","Feb-12 16:50"
"24","2016 Bowman Chrome Albert Almora Blue Refractor Auto /150 BGS 9.5/10!","$89.95","Feb-12 16:49"
